day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Friday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.629,Basement,1.676,Basement,0.912,Basement,0.785
Friday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.843,Basement,1.795,Basement,0.977,Basement,0.841
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,2.065,Basement,1.764,Third,1.367,Basement,3.182
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.914,First,1.534,Third,1.152,Basement,2.386
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.057,First,0.848,Fourth,0.657,First,1.252
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.511,First,1.211,Fourth,0.812,Basement,2.121
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Basement,1.516,Basement,1.69,Basement,1.063,Basement,3.049
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,2.266,First,1.816,Third,1.126,First,2.684
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.511,First,1.211,Third,0.804,Basement,1.989
Tuesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Basement,0.923,Basement,1.029,Basement,0.647,Basement,1.856
Tuesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Basement,1.186,Basement,1.323,Basement,0.832,Basement,2.386
Tuesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.662,First,1.332,Third,1.045,Basement,2.254
Wednesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Third,2.088,Basement,2.058,Third,1.715,Basement,3.712
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.611,First,1.291,Third,1.018,First,1.909
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Basement,1.12,Basement,1.249,Basement,0.786,Basement,2.254
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Third,1.37,Second,1.188,Third,1.126,Basement,1.856
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Third,1.435,Basement,1.323,Third,1.179,Basement,2.386
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.964,First,1.574,Third,1.474,Basement,2.784
